State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,Area (in ha),TOT_P,Urb_Under_MC/VP,Class,VP/MC,VP Area,VP Population,Forest Area (in Hectares),Area under Non-Agricultural Uses (in Hectares),Barren & Un-cultivable Land Area (in Hectares),Permanent Pastures and Other Grazing Land Area (in Hectares),Land Under Miscellaneous Tree Crops etc. Area (in Hectares),Culturable Waste Land Area (in Hectares),Fallows Land other than Current Fallows Area (in Hectares),Current Fallows Area (in Hectares),Net Area Sown (in Hectares),Total Unirrigated Land Area (in Hectares),Area Irrigated by Source (in Hectares),Canals Area (in Hectares),Wells/Tube Wells Area (in Hectares),Tanks/Lakes Area (in Hectares),Waterfall Area (in Hectares),Other Source (specify) Area (in Hectares)
30,585,5613,626788,0,0,VILLAGE,Zormen,Rural,726.3,635,,D,Mauzi,2796.33,4080,459.5,59.36,0,0,0,1.29,20,7,179.15,178.88,0.27,0.27,0,0,0,0
30,585,5610,626704,0,0,TOWN,Aldona (CT),Urban,804,6270,VP,V,Aldona,1519.37,9518,,,,,,,,,,,,,,,,
30,585,5610,626694,0,0,TOWN,Anjuna (CT),Urban,1300,9636,VP,V,"Anjuna, Caisua",1300,9636,,,,,,,,,,,,,,,,
30,586,5616,626929,0,0,TOWN,Aquem (CT),Urban,170,6511,VP,V,"Aquem-
Baixo(CT)",170,6511,,,,,,,,,,,,,,,,
30,585,5609,626658,0,0,TOWN,Arambol (CT),Urban,966,5322,VP,V,Arambol,966,5322,,,,,,,,,,,,,,,,
30,585,5611,626733,0,0,TOWN,Bambolim (CT),Urban,760,6885,VP,V,Curca -Bambolim -Talaulim,1778.86,10816,,,,,,,,,,,,,,,,
30,585,5614,626869,0,0,TOWN,Bandora (CT),Urban,1230,12722,VP,IV,Bandora,1230,12722,,,,,,,,,,,,,,,,
30,586,5616,626931,0,0,TOWN,Benaulim (CT),Urban,1020,11919,VP,IV,Cana,1083,12627,,,,,,,,,,,,,,,,
30,585,5612,803244,0,0,TOWN,Bicholim (M Cl),Urban,1450,16986,MCI,IV,,,,,,,,,,,,,,,,,,,
30,585,5614,626872,0,0,TOWN,Borim (CT),Urban,1530,8257,VP,V,Borim,1530,8257,,,,,,,,,,,,,,,,
30,585,5610,626695,0,0,TOWN,Calangute (CT),Urban,1172,13810,VP,IV,Calangute,1172,13810,,,,,,,,,,,,,,,,
30,585,5611,626732,0,0,TOWN,Calapor (CT),Urban,980,14077,VP,IV,St. Cruz,980,15306,,,,,,,,,,,,,,,,
30,586,5619,803254,0,0,TOWN,Canacona (M Cl),Urban,1870,12434,MCI,IV,,,,,,,,,,,,,,,,,,,
30,585,5614,626865,0,0,TOWN,Candola (CT),Urban,852,5354,VP,V,Betqui-Candola,1481,7061,,,,,,,,,,,,,,,,
30,585,5610,626697,0,0,TOWN,Candolim (CT),Urban,696,8500,VP,V,Candolim,696,8500,,,,,,,,,,,,,,,,
30,585,5612,626763,0,0,TOWN,Carapur (CT),Urban,860,5500,VP,V,Carapur - Sarvona,1645.86,9086,,,,,,,,,,,,,,,,
30,586,5615,626885,0,0,TOWN,Chicalim (CT),Urban,1219,6933,VP,V,Chicalim(CT),1975,13155,,,,,,,,,,,,,,,,
